SiteName,SiteNumber,Year,Water_Column_Depth,THg,DMHg
North Open Polynya,1,2005,76.3,71.407,0
North Open Polynya,1,2005,76.3,71.407,250
North Open Polynya,1,2005,76.3,71.407,660
North Open Polynya,2,2005,76.255,74.594,0
North Open Polynya,2,2005,76.255,74.594,200
North Open Polynya,2,2005,76.255,74.594,439
North Open Polynya,3,2005,76.383,77.382,0
North Open Polynya,3,2005,76.383,77.382,200
North Open Polynya,3,2005,76.383,77.382,347
North Open Polynya,4,2005,77.335,76.021,0
North Open Polynya,4,2005,77.335,76.021,180
North Open Polynya,4,2005,77.335,76.021,522
North Open Polynya,5,2005,78.328,74.356,0
North Open Polynya,5,2005,78.328,74.356,140
North Open Polynya,5,2005,78.328,74.356,487
Northwest Passage,6,2005,75.24,74.982,0
Northwest Passage,6,2005,75.24,74.982,200
Northwest Passage,6,2005,75.24,74.982,470
Northwest Passage,7,2005,74.051,79.921,0
Northwest Passage,7,2005,74.051,79.921,200
Northwest Passage,7,2005,74.051,79.921,808
Northwest Passage,8,2005,74.267,91.197,0
Northwest Passage,8,2005,74.267,91.197,200
Northwest Passage,8,2005,74.267,91.197,322
Northwest Passage,9,2005,73.654,96.284,0
Northwest Passage,9,2005,73.654,96.284,150
Northwest Passage,9,2005,73.654,96.284,240
Northwest Passage,10,2005,69.167,100.7,0
Northwest Passage,10,2005,69.167,100.7,35
Northwest Passage,10,2005,69.167,100.7,54
Northwest Passage,11,2005,68.678,103.869,0
Northwest Passage,11,2005,68.678,103.869,50
Northwest Passage,11,2005,68.678,103.869,102
Hudson Strait,12,2005,61.153,64.825,0
Hudson Strait,12,2005,61.153,64.825,75
Hudson Strait,12,2005,61.153,64.825,435
Hudson Strait,13,2005,62.275,71.978,0
Hudson Strait,13,2005,62.275,71.978,150
Hudson Strait,13,2005,62.275,71.978,330
Hudson Strait,14,2005,64.029,79.215,0
Hudson Strait,14,2005,64.029,79.215,200
Hudson Strait,14,2005,64.029,79.215,304
Hudson Bay,15,2005,62.138,78.714,0
Hudson Bay,15,2005,62.138,78.714,70
Hudson Bay,15,2005,62.138,78.714,141
Hudson Bay,16,2005,60.125,79.166,0
Hudson Bay,16,2005,60.125,79.166,75
Hudson Bay,16,2005,60.125,79.166,128
Hudson Bay,17,2005,58.419,78.332,0
Hudson Bay,17,2005,58.419,78.332,30
Hudson Bay,17,2005,58.419,78.332,104
Hudson Bay,18,2005,55.285,77.899,0
Hudson Bay,18,2005,55.285,77.899,45
Hudson Bay,18,2005,55.285,77.899,82
Hudson Bay,19,2005,54.72,80.752,0
Hudson Bay,19,2005,54.72,80.752,50
Hudson Bay,19,2005,54.72,80.752,87
Hudson Bay,20,2005,55.429,80.487,0
Hudson Bay,20,2005,55.429,80.487,50
Hudson Bay,20,2005,55.429,80.487,84
Hudson Bay,21,2005,58.398,83.292,0
Hudson Bay,21,2005,58.398,83.292,75
Hudson Bay,21,2005,58.398,83.292,168
Hudson Bay,22,2005,57.574,91.612,0
Hudson Bay,22,2005,57.574,91.612,20
Hudson Bay,22,2005,57.574,91.612,60
Hudson Bay,23,2005,59.06,87.482,0
Hudson Bay,23,2005,59.06,87.482,100
Hudson Bay,23,2005,59.06,87.482,188
Hudson Bay,24,2005,59.041,94.001,0
Hudson Bay,24,2005,59.041,94.001,20
Hudson Bay,24,2005,59.041,94.001,45
,,,,,
Data Dictionary/dictionnaire de donn�es,,,,,
Attribute/attribut,,Definition (English/Anglais),D�finition (French/Fran�ais),,
SiteName,,Site name,nom du site,,
SiteNumber,,Site Number,num�ro de site,,
Year,,Year (YYYY),Ann�e (AAAA),,
Latitude,,Latitude (decimal degrees),Latitude (degr�s d�cimaux),,
Longitude,,Longitude (decimal degrees),Longitude (degr�s d�cimaux),,
Water_Column_Depth,,"Depth the water sample was collected (meters, m)","Profondeur de l'�chantillon d'eau a �t� recueillie (m�tres, m)",,
THg,,Total mercury measured in nanograms per litre (ng/L),Mercure total mesur� en nanogrammes par litre (ng/L),,
GEM,,Gaseous elemental mercury measured in picograms per litre (pg/L),Mercure �l�mentaire gazeux mesur�e en picogrammes par litre (pg/L),,
Methylated_Hg,,Methylated mercury measured in picograms per litre (pg/L),Mercure m�thyl� mesur�e en picogrammes par litre (pg/L),,
DMHg,,Dimethyl mercury measured in picograms per litre (pg/L),Dim�thyle mercure mesur�es en picogrammes par litre (pg/L),,
